specification,model,term,estimate,ci_low,ci_high,odds_ratio,or_ci_low,or_ci_high,n,controls,p_value
M3 conventional characteristics,weighted_lpm,under_minus_over,0.07711596847635527,0.02943804849052868,0.12479388846218185,,,,15355,"Wald contrast: under-remote minus over-remote; age_quant, female_binary, log_income, commutetime_quant, has_children_any, education_s, work_industry, occupation_clean, region",0.0015237826988848202
M4 conventional characteristics plus month FE,unweighted_logit,under_remote_planned,0.8263168198141594,0.7197973402659061,0.9328362993624126,2.2848875704104055,2.0540169019416354,2.541708008576218,15355,"under/over remote misfit + age_quant, female_binary, log_income, commutetime_quant, has_children_any, education_s, work_industry, occupation_clean, region, date",
M4 conventional characteristics plus month FE,unweighted_logit,over_remote_planned,0.37052605690573825,0.12483007879768543,0.616222035013791,1.4484964058102232,1.132955923477173,1.8519183263596823,15355,"under/over remote misfit + age_quant, female_binary, log_income, commutetime_quant, has_children_any, education_s, work_industry, occupation_clean, region, date",
M4 conventional characteristics plus month FE,unweighted_logit,under_minus_over,0.45579076290842113,0.20601895118523658,0.7055625746316057,,,,15355,"Wald contrast: under-remote minus over-remote; age_quant, female_binary, log_income, commutetime_quant, has_children_any, education_s, work_industry, occupation_clean, region, date",0.0003480942286026551
M4 conventional characteristics plus month FE,unweighted_lpm,under_remote_planned,0.09550633381066498,0.08237518912462735,0.1086374784967026,,,,15355,"under/over remote misfit + age_quant, female_binary, log_income, commutetime_quant, has_children_any, education_s, work_industry, occupation_clean, region, date",
M4 conventional characteristics plus month FE,unweighted_lpm,over_remote_planned,0.03382030709059391,0.008228630745445359,0.05941198343574246,,,,15355,"under/over remote misfit + age_quant, female_binary, log_income, commutetime_quant, has_children_any, education_s, work_industry, occupation_clean, region, date",
M4 conventional characteristics plus month FE,unweighted_lpm,under_minus_over,0.06168602672007107,0.034014069537116914,0.08935798390302523,,,,15355,"Wald contrast: under-remote minus over-remote; age_quant, female_binary, log_income, commutetime_quant, has_children_any, education_s, work_industry, occupation_clean, region, date",1.2474223909597636e-05
M4 conventional characteristics plus month FE,weighted_lpm,under_remote_planned,0.1145134843976577,0.09484477971748084,0.13418218907783455,,,,15355,"under/over remote misfit + age_quant, female_binary, log_income, commutetime_quant, has_children_any, education_s, work_industry, occupation_clean, region, date",
M4 conventional characteristics plus month FE,weighted_lpm,over_remote_planned,0.03567575359512447,-0.009993144685645008,0.08134465187589394,,,,15355,"under/over remote misfit + age_quant, female_binary, log_income, commutetime_quant, has_children_any, education_s, work_industry, occupation_clean, region, date",
M4 conventional characteristics plus month FE,weighted_lpm,under_minus_over,0.07883773080253323,0.03091603886740861,0.12675942273765783,,,,15355,"Wald contrast: under-remote minus over-remote; age_quant, female_binary, log_income, commutetime_quant, has_children_any, education_s, work_industry, occupation_clean, region, date",0.0012623316928216748
M4 conventional characteristics plus month FE,weighted_lpm_month_cluster,under_remote_planned,0.1145134843976577,0.08403863029406555,0.14498833850124984,,,,15355,"under/over remote misfit + age_quant, female_binary, log_income, commutetime_quant, has_children_any, education_s, work_industry, occupation_clean, region, date",
M4 conventional characteristics plus month FE,weighted_lpm_month_cluster,over_remote_planned,0.03567575359512447,-0.01488614982513143,0.08623765701538036,,,,15355,"under/over remote misfit + age_quant, female_binary, log_income, commutetime_quant, has_children_any, education_s, work_industry, occupation_clean, region, date",
M4 conventional characteristics plus month FE,weighted_lpm_month_cluster,under_minus_over,0.07883773080253323,0.012441304947669984,0.14523415665739647,,,,15355,"Wald contrast: under-remote minus over-remote; age_quant, female_binary, log_income, commutetime_quant, has_children_any, education_s, work_industry, occupation_clean, region, date",0.019953540801437988
