model,feature_universe,current_wfh_included,roc_auc,pr_auc,precision_at_10,recall_at_10,lift_at_10
restricted_rf_full,planned-only,False,0.6502830101852989,0.20392659959448386,0.24838012958963282,0.20833333333333334,2.0817584593232543
no_gender_children,planned-only,False,0.6505989109537758,0.20414807535028723,0.2505399568034557,0.21014492753623187,2.09986070679563
no_sensitive_family_income,planned-only,False,0.6403869350911733,0.19581086927033436,0.2473002159827214,0.20742753623188406,2.0727073355870664
no_socioeconomic,planned-only,False,0.6415493320955181,0.1879467451844113,0.23110151187904968,0.19384057971014493,1.9369404795442453
no_occupation_industry,planned-only,False,0.635936813621659,0.19809786255389988,0.24838012958963282,0.20833333333333334,2.0817584593232543
voice_only,planned-only,False,0.6266171296024585,0.17879866208782177,0.23110151187904968,0.19384057971014493,1.9369404795442453
minimal_voice_hris_desired_reference,planned-only,False,0.6390661430850412,0.19830830783983058,0.2408207343412527,0.20199275362318841,2.018400593169938
signed_gap_only_hris,planned-only,False,0.6490522532328142,0.2040847580815722,0.24622030237580994,0.20652173913043478,2.063656211850878
directional_under_remote_rule,planned-only directional gap,False,0.6124421663723298,0.17107965405237274,0.23218142548596113,0.1947463768115942,1.9459916032804334
