sample,n,min_weight,p1_weight,median_weight,p99_weight,max_weight,effective_n
full_swaa_2020_2026,389273,0.0,7.662153620913159e-06,0.00017641775775700808,0.0013419307069852948,0.0013419307069852948,194173.98613599184
job_satisfaction_2025_2026,38760,1.6337108945663203e-06,1.304798592173029e-05,0.00011904408893315122,0.0009145966614596546,0.0013419307069852948,18046.22144669255
ranking_eligible_reference_sample,37434,1.6337108945663203e-06,1.3191215657570865e-05,0.00011853752948809415,0.0008993019151966934,0.0013419307069852948,17401.40080963311
complete_case_association,15355,2.393830072833225e-06,1.3839521670888644e-05,0.00012053414684487507,0.0008603654569014907,0.0013419307069852948,7278.2356196046
ranking_train_2025,28181,1.6337108945663203e-06,1.2709639122476801e-05,0.00011734724103007466,0.0008960385457612574,0.0013419307069852948,13042.901231624031
ranking_test_January-February 2026,9253,3.5346438380656764e-06,1.585762765898835e-05,0.0001287351769860834,0.0009752846090123057,0.0013419307069852948,4358.900858806842
