feature,importance_mean,importance_sd
log_income,0.01892707918061835,0.0038778335149701366
under_remote_planned,0.01239306759804484,0.003656198999431792
education_s,0.0064987777784076065,0.0016605220844290872
misfit_planned,0.005492362428876359,0.0028893512745250876
abs_misfit_planned,0.005291152767883663,0.0031231415788429604
occupation_clean,0.004929271208514323,0.0015921886236611173
work_industry,0.004240564670915825,0.00201370749202833
age_quant,0.0013027200333191463,0.00098317418598951
planned_days,0.0005328775050200407,0.0010773584171613513
commutetime_quant,0.0,0.0
over_remote_planned,-0.00016861398806445813,0.00023086990078135806
desired_days,-0.00046478197007376876,0.0016607993896996522
