model,roc_auc,pr_auc,brier,ece,calibration_intercept,calibration_slope,precision_at_10,recall_at_10,lift_at_10,ece_bins,ece_binning,calibration_protocol
null_2025_base_rate,0.5,0.11931265535501999,0.10507815765277043,0.00100599483906956,,,0.11931265535501999,0.1,1.0,10,equal-width probability bins,constant 2025 training prevalence applied to 2026
raw_gender_children_excluded_rf,0.6505989109537758,0.20414807535028723,0.21628971502647296,0.33042589617743173,-1.8985267265450554,0.9974464234842223,0.2505399568034557,0.21014492753623187,2.09986070679563,10,equal-width probability bins,raw RF fit on 2025 only
platt_gender_children_excluded_rf,0.6484206740046347,0.203336370926052,0.10199287704937478,0.009456154035002818,0.9218269875762649,1.5098783246362226,0.2548596112311015,0.213768115942029,2.1360652017403825,10,equal-width probability bins,"calibration-only internal CV: mapping learned by 3-fold CV inside 2025 training data, then applied unchanged to January-February 2026"
isotonic_gender_children_excluded_rf,0.6478860214021103,0.20255877218554752,0.10191491573793875,0.010892617122627271,0.6471059195597066,1.3780383536030218,0.2473002159827214,0.20742753623188406,2.0727073355870664,10,equal-width probability bins,"calibration-only internal CV: mapping learned by 3-fold CV inside 2025 training data, then applied unchanged to January-February 2026"
