reference,n,under_remote_prevalence_weighted,dissatisfaction_prevalence_under_weighted,dissatisfaction_prevalence_not_under_weighted,weighted_lpm_under_estimate,ci_low,ci_high,lpm_n
combined,38575,0.30697641889562033,0.21918615196282606,0.1155517352671615,0.11204106192319975,0.09244502061380241,0.13163710323259709,15590
planned,37434,0.3116240107161381,0.22019450433353935,0.11583940627832125,0.11451348439765724,0.09484477971748048,0.134182189077834,15355
current,35530,0.36868909341399103,0.18969865592669685,0.10991277096684604,0.09600715071459684,0.0786685674735767,0.11334573395561698,14692
