term,logit_coef,ci_low,ci_high,odds_ratio,n
age_quant,0.021970849590477338,0.016727351127047686,0.02721434805390699,1.0222139860798087,38760
female_binary,0.22181845102798342,0.10626930028221304,0.3373676017737538,1.2483447215893722,38760
log_income,-0.2554366783329743,-0.3396400889350736,-0.17123326773087502,0.7745781825894293,38760
commutetime_quant,-0.004284430279450985,-0.008353308567921668,-0.00021555199098030175,0.9957247347982414,38760
has_children_any,-0.39652545395176664,-0.5148164253456474,-0.27823448255788585,0.6726531548023684,38760
desired_days,0.2615492478187003,0.23136848650078737,0.29173000913661323,1.2989409100031872,38760
year,0.1410522356352989,0.01843283754177273,0.26367163372882507,1.1514847949536244,38760
