desired_wfh_days,planned_wfh_days,predicted_dissatisfaction,nearest_quarter_desired,nearest_quarter_planned,nearest_cell_n
0.0,0.0,0.10453793978839691,0.0,0.0,3767
0.0,0.08333333333333333,0.10463893218020046,0.0,0.0,3767
0.0,0.16666666666666666,0.10475578465195785,0.0,0.25,0
0.0,0.25,0.10488849720366909,0.0,0.25,0
0.0,0.3333333333333333,0.10503706983533405,0.0,0.25,0
0.0,0.41666666666666663,0.10520150254695283,0.0,0.5,0
0.0,0.5,0.10538179533852547,0.0,0.5,0
0.0,0.5833333333333333,0.10557794821005191,0.0,0.5,0
0.0,0.6666666666666666,0.10578996116153215,0.0,0.75,0
0.0,0.75,0.1060178341929662,0.0,0.75,0
0.0,0.8333333333333333,0.10626156730435403,0.0,0.75,0
0.0,0.9166666666666666,0.10652116049569571,0.0,1.0,113
0.0,1.0,0.10679661376699115,0.0,1.0,113
0.0,1.0833333333333333,0.10708792711824049,0.0,1.0,113
0.0,1.1666666666666665,0.10739510054944354,0.0,1.25,0
0.0,1.25,0.10771813406060046,0.0,1.25,0
0.0,1.3333333333333333,0.10805702765171113,0.0,1.25,0
0.0,1.4166666666666665,0.10841178132277568,0.0,1.5,0
0.0,1.5,0.10878239507379399,0.0,1.5,0
0.0,1.5833333333333333,0.10916886890476615,0.0,1.5,0
0.0,1.6666666666666665,0.10957120281569206,0.0,1.75,0
0.0,1.75,0.10998939680657183,0.0,1.75,0
0.0,1.8333333333333333,0.11042345087740536,0.0,1.75,0
0.0,1.9166666666666665,0.11087336502819278,0.0,2.0,90
0.0,2.0,0.11133913925893393,0.0,2.0,90
0.0,2.083333333333333,0.11182077356962894,0.0,2.0,90
0.0,2.1666666666666665,0.11231826796027772,0.0,2.25,0
0.0,2.25,0.11283162243088034,0.0,2.25,0
0.0,2.333333333333333,0.11336083698143676,0.0,2.25,0
0.0,2.4166666666666665,0.11390591161194699,0.0,2.5,22
0.0,2.5,0.114466846322411,0.0,2.5,22
0.0,2.583333333333333,0.11504364111282889,0.0,2.5,22
0.0,2.6666666666666665,0.1156362959832005,0.0,2.75,69
0.0,2.75,0.11624481093352598,0.0,2.75,69
0.0,2.833333333333333,0.11686918596380522,0.0,2.75,69
0.0,2.9166666666666665,0.11750942107403833,0.0,3.0,51
0.0,3.0,0.11816551626422522,0.0,3.0,51
0.0,3.083333333333333,0.11883747153436594,0.0,3.0,51
0.0,3.1666666666666665,0.11952528688446043,0.0,3.25,0
0.0,3.25,0.12022896231450875,0.0,3.25,0
0.0,3.333333333333333,0.12094849782451086,0.0,3.25,0
0.0,3.4166666666666665,0.12168389341446684,0.0,3.5,0
0.0,3.5,0.1224351490843765,0.0,3.5,0
0.0,3.583333333333333,0.12320226483424013,0.0,3.5,0
0.0,3.6666666666666665,0.12398524066405744,0.0,3.75,0
0.0,3.75,0.12478407657382865,0.0,3.75,0
0.0,3.833333333333333,0.12559877256355362,0.0,3.75,0
0.0,3.9166666666666665,0.1264293286332324,0.0,4.0,31
0.0,4.0,0.12727574478286507,0.0,4.0,31
0.0,4.083333333333333,0.12813802101245145,0.0,4.0,31
0.0,4.166666666666666,0.12901615732199162,0.0,4.25,0
0.0,4.25,0.1299101537114857,0.0,4.25,0
0.0,4.333333333333333,0.13082001018093348,0.0,4.25,0
0.0,4.416666666666666,0.1317457267303352,0.0,4.5,0
0.0,4.5,0.13268730335969064,0.0,4.5,0
0.0,4.583333333333333,0.1336447400689999,0.0,4.5,0
0.0,4.666666666666666,0.1346180368582629,0.0,4.75,0
0.0,4.75,0.13560719372747987,0.0,4.75,0
0.0,4.833333333333333,0.13661221067665053,0.0,4.75,0
0.0,4.916666666666666,0.13763308770577504,0.0,5.0,106
0.0,5.0,0.13866982481485335,0.0,5.0,106
0.08333333333333333,0.0,0.10704214950209934,0.0,0.0,3767
