outcome,reference,threshold_days,n,events,weighted_prevalence,under_share,over_share,prevalence_under,prevalence_not_under,prevalence_over,prevalence_not_over
dissatisfied_broad,combined,0.5,38575,4536,0.1473650573787331,0.4185584537063589,0.11404716698898243,0.19920263352264936,0.11004908666251989,0.1375947376716375,0.14862277363816856
dissatisfied_broad,combined,1.0,38575,4536,0.1473650573787331,0.40890317002643445,0.09650525996966597,0.19988109581009325,0.11103602717098597,0.14235101820330112,0.14790062347855001
dissatisfied_broad,combined,1.5,38575,4536,0.1473650573787331,0.3182035392586288,0.059180706448565004,0.21525300437755882,0.11568084331792851,0.12377118492681925,0.14884919152556886
dissatisfied_broad,combined,2.0,38575,4536,0.1473650573787331,0.30697641889562033,0.04946044379865402,0.21918615196282606,0.1155517352671615,0.13569190381986776,0.14797245909261716
dissatisfied_broad,combined,2.5,38575,4536,0.1473650573787331,0.19978678650763654,0.0347970815318269,0.24164178556179802,0.12382727488705693,0.12308236566447721,0.1482404865628203
dissatisfied_broad,combined,3.0,38575,4536,0.1473650573787331,0.19581094459263987,0.02726255738016065,0.24397376728460887,0.1238419285630052,0.13807599830111586,0.14762539844818878
dissatisfied_broad,planned,0.5,37434,4438,0.14835896047296418,0.4247477135566216,0.11025502592780574,0.1999288393387931,0.11028142709699072,0.13894539124966807,0.149525466999028
dissatisfied_broad,planned,1.0,37434,4438,0.14835896047296418,0.4153586327382969,0.09261774635908356,0.20058515009225036,0.11125484857099628,0.14483416271653665,0.14871874139579128
dissatisfied_broad,planned,1.5,37434,4438,0.14835896047296418,0.32297476577446915,0.056095722575625076,0.21628968801635745,0.11595261916086458,0.12582127240657484,0.14969836313010432
dissatisfied_broad,planned,2.0,37434,4438,0.14835896047296418,0.3116240107161381,0.04758351240376436,0.22019450433353935,0.11583940627832125,0.13887619486701072,0.14883272725536387
dissatisfied_broad,planned,2.5,37434,4438,0.14835896047296418,0.20220217447257005,0.03248316301403871,0.24329198774276298,0.12429814715785303,0.12606046449257013,0.14910760447812224
dissatisfied_broad,planned,3.0,37434,4438,0.14835896047296418,0.19845400757445883,0.024815438250704983,0.24538702812505808,0.12433587376961137,0.1433829166433544,0.14848558543528412
dissatisfied_broad,current,0.5,35530,3966,0.13932895655992641,0.4940693789130972,0.1136089387678937,0.17117552154083543,0.10822901533314182,0.1390960253829499,0.13935881140050374
