feature_set,model,roc_auc,pr_auc,brier,precision_at_10,recall_at_10,lift_at_10,precision10_ci_low,precision10_ci_high,lift10_ci_low,lift10_ci_high
hris,logit,0.5965875491969318,0.1557975467302759,0.24739681427891036,0.17278617710583152,0.14492753623188406,1.4481797977900899,0.1490280777537797,0.1981911447084233,1.2558325495400233,1.649879921814879
hris,rf,0.5978126928528619,0.16015202559035963,0.22645840832886482,0.17062634989200864,0.1431159420289855,1.4300775503177139,0.1447084233261339,0.19546436285097193,1.2300286826227456,1.6075256222290422
desired,logit,0.612401150403446,0.16675514941216907,0.2453953565809741,0.19654427645788336,0.16485507246376813,1.647304519986227,0.1717062634989201,0.2224622030237581,1.4473030403381355,1.8532765189113674
desired,rf,0.613998994719722,0.17472894785909143,0.22024510384930607,0.20518358531317496,0.1721014492753623,1.719713509875732,0.18034557235421167,0.2370680345572354,1.490193222427425,1.9498082599032132
arrangement,logit,0.638116773463802,0.18370932863865416,0.24274129666607894,0.23326133909287258,0.1956521739130435,1.9550427270166215,0.20461663066954644,0.2608261339092872,1.7287861974176864,2.1587994691982635
arrangement,rf,0.6390661430850412,0.19830830783983058,0.21656431492446113,0.2408207343412527,0.20199275362318841,2.018400593169938,0.21217602591792656,0.26997840172786175,1.7963790960492094,2.239987465319993
hris_plus_misfit,logit,0.6479816141751188,0.19047506788516272,0.23963151181892411,0.23326133909287258,0.1956521739130435,1.9550427270166215,0.20734341252699784,0.25974622030237576,1.7410611960960478,2.1443486319127256
hris_plus_misfit,rf,0.652502374257711,0.20541052007035948,0.21703566687255976,0.2580993520518359,0.2164855072463768,2.163218572948947,0.2294546436285097,0.2873110151187904,1.9353384112700136,2.386141954285122
minimal_voice,logit,0.638116773463802,0.18370932863865416,0.24274129666607894,0.23326133909287258,0.1956521739130435,1.9550427270166215,0.20461663066954644,0.2608261339092872,1.7287861974176864,2.1587994691982635
minimal_voice,rf,0.6390661430850412,0.19830830783983058,0.21656431492446113,0.2408207343412527,0.20199275362318841,2.018400593169938,0.21217602591792656,0.26997840172786175,1.7963790960492094,2.239987465319993
signed_gap_only,logit,0.6382749461568149,0.1840492905199271,0.24253717850358708,0.23326133909287258,0.1956521739130435,1.9550427270166215,0.20734341252699784,0.2580993520518359,1.7285547803376504,2.158864670324125
signed_gap_only,rf,0.6490522532328142,0.2040847580815722,0.21690960750461194,0.24622030237580994,0.20652173913043478,2.063656211850878,0.21706263498920086,0.275377969762419,1.8510999179797873,2.2755108390395358
restricted,logit,0.6477384083758833,0.19040995224872112,0.23979502427990934,0.23110151187904968,0.19384057971014493,1.9369404795442453,0.20518358531317496,0.2591792656587473,1.7280491167263996,2.136421579946024
restricted,rf,0.6502830101852989,0.20392659959448386,0.21251817931208464,0.24838012958963282,0.20833333333333334,2.0817584593232543,0.22297516198704104,0.2775377969762419,1.8716413183602871,2.300684539827814
gender_children_excluded,logit,0.6480722605778961,0.1914206996623833,0.23891803675571588,0.23650107991360692,0.1983695652173913,1.9821960982251856,0.20734341252699784,0.26457883369330454,1.7521514414917998,2.1753830649455335
gender_children_excluded,rf,0.6505989109537758,0.20414807535028723,0.21628971502647296,0.2505399568034557,0.21014492753623187,2.09986070679563,0.2203023758099352,0.2813444924406047,1.8740597161699943,2.3148774085687225
gender_children_income_excluded,logit,0.6383849334229682,0.18318360308813375,0.2431613136962664,0.22570194384449244,0.18931159420289856,1.8916848608633048,0.1976241900647948,0.25275377969762414,1.6887854976999952,2.115401852536278
gender_children_income_excluded,rf,0.6403869350911733,0.19581086927033436,0.2250530235798943,0.2473002159827214,0.20742753623188406,2.0727073355870664,0.21922246220302377,0.2775377969762419,1.8693032891091539,2.310254188390718
