model,term,estimate,ci_low,ci_high,odds_ratio_if_logit,or_ci_low,or_ci_high,n
unweighted_logit,under_remote_planned,0.8061597841413406,0.7019012580443119,0.9104183102383693,2.239292088819426,2.017585012951209,2.4853619683239243,15434
unweighted_logit,over_remote_planned,0.3785146543479833,0.13592832789605083,0.6211009807999158,1.4601142036628665,1.1455997831056424,1.8609758130003495,15434
unweighted_lpm,under_remote_planned,0.0943579271572305,0.08127636853904949,0.10743948577541151,,,,15434
unweighted_lpm,over_remote_planned,0.03578720739233211,0.010123157117834174,0.06145125766683005,,,,15434
weighted_lpm,under_remote_planned,0.11317411183428858,0.09316839923650201,0.13317982443207516,,,,15434
weighted_lpm,over_remote_planned,0.03896082811305884,-0.006429955019063932,0.08435161124518162,,,,15434
