comparison,role,delta_precision10_point,delta_precision10_low,delta_precision10_median,delta_precision10_high,delta_recall10_point,delta_recall10_low,delta_recall10_median,delta_recall10_high,delta_lift10_point,delta_lift10_low,delta_lift10_median,delta_lift10_high,delta_pr_auc_point,delta_pr_auc_low,delta_pr_auc_median,delta_pr_auc_high,delta_roc_auc_point,delta_roc_auc_low,delta_roc_auc_median,delta_roc_auc_high
arrangement_rf_minus_conventional_rf,RQ2 incremental preference/arrangement information,0.07019438444924406,0.042116630669546434,0.06965442764578833,0.09827213822894168,0.05887681159420291,0.03591576457822949,0.058059483473931695,0.08133195508953014,0.5883230428522239,0.35888614432220034,0.5801559401558207,0.812704730500456,0.03815628224947096,0.025454239197231412,0.03818348733480076,0.05263514882526767,0.0412534502321793,0.028774890230211337,0.041105108196473006,0.052928314144401856
arrangement_logit_minus_conventional_logit,logistic-regression sensitivity for RQ2,0.06047516198704106,0.03239740820734341,0.05939524838012958,0.08534017278617709,0.050724637681159424,0.027519168954664167,0.04956403063158693,0.07057357907850295,0.5068629292265316,0.27498366127160634,0.49526563221822206,0.7052022972066824,0.027911781908378258,0.0192280482548234,0.027741777286086247,0.036362993932549985,0.041529224266870224,0.030128245839303444,0.041562204645012146,0.052964650318235905
gender_children_excluded_rf_minus_absolute_gap_rule,RQ3 rule-model comparison,0.03563714902807774,0.009719222462203025,0.031317494600431955,0.05294276457883367,0.02989130434782608,0.008325240043972846,0.026140656785818076,0.04489403443558172,0.2986870832942059,0.08318946665969816,0.2612089603014843,0.44860097260522436,0.03536995292273226,0.025031071563112565,0.035867295368950905,0.04776146807776643,0.03580316158646657,0.021506656329041036,0.03581889194391702,0.049076159220523205
gender_children_excluded_rf_minus_under_remote_directional_rule,RQ3 rule-model comparison,0.01835853131749457,-0.0032397408207343326,0.0172786177105832,0.03782397408207341,0.015398550724637666,-0.0026651369845509046,0.014964788732394374,0.03238327018460067,0.15386910351519667,-0.026631223021652026,0.14953476257110687,0.3235879039072462,0.033068421297914485,0.023606418318462438,0.03352273860288896,0.044959991015953195,0.03815674458144591,0.024212781012513174,0.03825089999496789,0.05263911713530315
gender_children_excluded_rf_minus_additive_support_rule,RQ3 rule-model comparison,0.04211663066954641,0.017278617710583144,0.038876889848812074,0.06155507559395246,0.03532608695652173,0.014727288209453866,0.03252033115764558,0.05119364003325248,0.3529938257113341,0.14716155270202655,0.3249574775396269,0.5115494073733104,0.02860136184478071,0.018738114876840548,0.029148940013603394,0.040564226459316066,0.031023745244815215,0.017199724452784206,0.03130490823846549,0.045186953109184004
