year,under_remote_strong,over_remote_strong,n
2020,0.3362287839367923,0.04084276288008748,15758
2021,0.2931887107115655,0.03841778354306625,41277
2022,0.22318216247608536,0.051436701015737926,63837
2023,0.2315266804044321,0.05570410373580861,74690
2024,0.29408773726287485,0.04748110305323746,59843
2025,0.30677515711265446,0.05015984699737896,61628
2026,0.31885116599393454,0.0459116979394079,24025
