misfit_bin_days,n,events,weighted_prevalence,weighted_share,mean_misfit_days
<= -3,647,71,0.13584795488919013,0.018375594168901443,-4.32846212387085
-3 to < -2,672,89,0.13708664994902897,0.01837693713605404,-2.6574137210845947
-2 to < -1,1417,154,0.11710097848003163,0.03416343405842781,-1.535681128501892
-1 to < +1,20692,1791,0.10906234227894103,0.5137253999710083,-0.05002468824386597
+1 to < +2,4100,452,0.14167766581068936,0.10373463481664658,1.123411774635315
+2 to < +3,3842,575,0.1760170971713007,0.11317000538110733,2.086176633834839
>= +3,6064,1306,0.24538702812505808,0.19845400750637054,4.26473331451416
