weight_trim,term,weighted_lpm_estimate,ci_low,ci_high,n
0.0,under,0.11451348439765724,0.09484477971748048,0.134182189077834,15355
0.0,over,0.03567575359512479,-0.009993144685644745,0.08134465187589432,15355
0.01,under,0.11451305263493744,0.09484511490654778,0.1341809903633271,15355
0.01,over,0.03566719242984746,-0.009996268769657903,0.08133065362935282,15355
0.025,under,0.11432626584822017,0.09517838884194121,0.13347414285449913,15355
0.025,over,0.0377146275454364,-0.007942688978635107,0.0833719440695079,15355
0.05,under,0.11384275868424457,0.09510777036999722,0.13257774699849192,15355
0.05,over,0.03758113139999327,-0.007015368217011618,0.08217763101699815,15355
