misfit_group,n,events,job_dissatisfaction_weighted,female_share_weighted,children_share_weighted,income_mean_weighted,commute_mean_weighted,education_mean_weighted,desired_wfh_days_weighted,planned_wfh_days_weighted,current_wfh_days_weighted,remoteable_pct_weighted
fit_or_weak,25785,2341,0.11412875680114595,0.413507850696728,0.4631489042074623,64.39315032958984,28.389928817749023,3.343578338623047,1.8688751459121704,1.7751855850219727,1.4300013780593872,
over_remote_strong,1743,216,0.13887619486701072,0.4432869734498711,0.48727464960227307,56.81239318847656,31.031381607055664,3.197488307952881,0.5753200054168701,3.7284111976623535,1.9657248258590698,
under_remote_strong,9906,1881,0.22019450433353935,0.5013977579737886,0.41237592288634267,52.157630920410156,26.17715835571289,3.1826231479644775,3.838677167892456,0.3651127219200134,0.651345431804657,
